Date,Open,High,Low,Close,Volume
2/28/2024,77.62,78.93,77.13,77.66,"393,110,386"
2/29/2024,79.09,79.99,78.35,79.11,"507,288,975"
3/1/2024,80,82.3,79.44,82.28,"479,135,115"
3/4/2024,84.13,87.7,83.72,85.24,"615,616,444"
3/5/2024,85.27,86.1,83.42,85.96,"520,639,295"
3/6/2024,88.02,89.72,87.03,88.7,"582,520,304"
3/7/2024,90.16,92.77,89.6,92.67,"608,119,134"
3/8/2024,95.14,97.4,86.51,87.53,"1,142,268,969"
3/11/2024,86.43,88.8,84.17,85.77,"678,364,053"
3/12/2024,88.05,91.96,86.15,91.91,"668,075,223"
3/13/2024,91.06,91.5,88.44,90.89,"635,712,924"
3/14/2024,89.58,90.65,86.6,87.94,"602,318,194"
3/15/2024,86.93,89.55,86.26,87.84,"642,086,204"
3/18/2024,90.39,92.41,87.09,88.46,"668,975,933"
3/19/2024,86.7,90.54,85.01,89.4,"672,171,243"
3/20/2024,89.8,90.41,88.22,90.37,"479,062,805"
3/21/2024,92.3,92.65,90.41,91.44,"480,372,295"
3/22/2024,91.14,94.78,90.83,94.29,"586,719,374"
3/25/2024,93.94,96.77,93.51,95,"552,136,084"
3/26/2024,95.85,96.38,92.5,92.56,"513,647,615"
3/27/2024,93.11,93.24,89.12,90.25,"586,067,184"
3/28/2024,90,91.3,89.19,90.36,"435,212,296"
4/1/2024,90.3,92.23,89.2,90.36,"452,441,515"
4/2/2024,88.45,90.09,87.62,89.45,"433,063,586"
4/3/2024,88.48,90.37,88.4,88.96,"370,066,596"
4/4/2024,90.41,90.63,85.88,85.91,"434,964,876"
4/5/2024,86.87,88.48,85.93,88.01,"399,678,476"
4/8/2024,88.7,88.83,86.73,87.13,"283,219,997"
4/9/2024,87.44,87.64,83.02,85.35,"503,547,375"
4/10/2024,83.93,87.4,83.71,87.04,"431,928,476"
4/11/2024,87.42,90.74,86.93,90.62,"431,637,266"
4/12/2024,89.7,90.17,87.53,88.19,"426,804,796"
4/15/2024,89.1,90.61,85.93,86,"443,076,986"
4/16/2024,86.43,88.12,86.06,87.42,"370,453,006"
4/17/2024,88.34,88.78,83.95,84.04,"495,399,525"
4/18/2024,84.97,86.19,82.4,84.67,"447,260,306"
4/19/2024,83.15,84.32,75.61,76.2,"875,197,961"
4/22/2024,78.1,80.07,76.4,79.52,"596,340,464"
4/23/2024,80.77,82.77,80.26,82.42,"438,559,406"
4/24/2024,83.95,84.08,79.18,79.68,"512,207,535"
4/25/2024,78.87,83.32,78.22,82.63,"424,640,696"
4/26/2024,83.82,88.33,83.39,87.74,"551,010,854"
4/29/2024,87.6,87.99,85.27,87.76,"388,970,776"
4/30/2024,87.24,88.82,86.3,86.4,"363,708,706"
5/1/2024,85.08,86,81.25,83.04,"559,863,154"
5/2/2024,84.45,86.24,83.2,85.82,"377,897,536"
5/3/2024,87.79,89.28,87.04,88.79,"398,340,696"
5/6/2024,89.39,92.22,89.06,92.14,"376,202,616"
5/7/2024,91.1,91.78,89.01,90.55,"437,341,596"
5/8/2024,89.48,91.19,89.42,90.41,"325,720,997"
5/9/2024,90.53,91.07,88.23,88.75,"378,012,726"
5/10/2024,90.3,91.4,89.23,89.88,"335,325,427"
5/13/2024,90.48,91,88.53,90.4,"289,680,197"
5/14/2024,89.6,91.65,88.93,91.36,"296,507,107"
5/15/2024,92.47,94.86,91.6,94.63,"417,735,506"
5/16/2024,94.91,95.82,94.1,94.36,"323,951,817"
5/17/2024,94.37,94.74,91.81,92.48,"359,691,016"
5/20/2024,93.75,95.2,93.44,94.78,"318,764,467"
5/21/2024,93.6,95.4,93.18,95.39,"328,946,477"
5/22/2024,95.46,96.02,93.25,94.95,"548,648,005"
5/23/2024,102.03,106.32,101.52,103.8,"835,065,302"
5/24/2024,104.45,106.48,103,106.47,"429,493,666"
5/28/2024,110.24,114.94,109.88,113.9,"652,727,963"
5/29/2024,113.05,115.49,110.9,114.83,"557,441,904"
5/30/2024,114.65,115.82,109.66,110.5,"487,350,305"
5/31/2024,112.52,112.72,106.94,109.63,"613,262,454"
6/3/2024,113.62,115,112,115,"438,391,796"
6/4/2024,115.72,116.6,114.05,116.44,"403,323,976"
6/5/2024,118.37,122.45,117.47,122.44,"528,401,795"
6/6/2024,124.05,125.59,118.32,121,"664,696,163"
6/7/2024,119.77,121.69,118.02,120.89,"412,385,776"
6/10/2024,120.37,123.1,117.01,121.79,"314,162,688"
6/11/2024,121.77,122.87,118.74,120.91,"222,551,203"
6/12/2024,123.06,126.88,122.57,125.2,"299,595,000"
6/13/2024,129.39,129.8,127.16,129.61,"260,704,500"
6/14/2024,129.96,132.84,128.32,131.88,"309,320,375"
6/17/2024,132.99,133.73,129.58,130.98,"288,504,375"
6/18/2024,131.14,136.33,130.69,135.58,"294,335,094"
6/20/2024,139.8,140.76,129.52,130.78,"517,768,375"
6/21/2024,127.12,130.63,124.3,126.57,"655,484,688"
6/24/2024,123.24,124.46,118.04,118.11,"476,060,906"
6/25/2024,121.2,126.5,119.32,126.09,"425,787,500"
6/26/2024,126.13,128.12,122.6,126.4,"362,975,906"
6/27/2024,124.1,126.41,122.92,123.99,"252,571,703"
6/28/2024,124.58,127.71,122.75,123.54,"315,516,719"
7/1/2024,123.47,124.84,118.83,124.3,"284,885,500"
7/2/2024,121.13,123.41,121.03,122.67,"218,374,000"
7/3/2024,121.66,128.28,121.36,128.28,"215,748,984"
7/5/2024,127.38,128.85,125.68,125.83,"214,176,703"
7/8/2024,127.49,130.77,127.04,128.2,"237,677,297"
7/9/2024,130.35,133.82,128.65,131.38,"287,020,812"
7/10/2024,134.03,135.1,132.42,134.91,"248,978,594"
7/11/2024,135.75,136.15,127.05,127.4,"374,782,688"
7/12/2024,128.26,131.92,127.22,129.24,"252,680,500"
7/15/2024,130.56,131.39,127.18,128.44,"208,326,203"
7/16/2024,128.44,129.04,124.58,126.36,"214,769,500"
7/17/2024,121.35,121.85,116.72,117.99,"390,086,219"
7/18/2024,121.85,122.4,116.56,121.09,"320,979,500"
7/19/2024,120.35,121.6,117.37,117.93,"217,223,812"
7/22/2024,120.35,124.07,119.86,123.54,"258,068,891"
7/23/2024,122.78,124.69,122.1,122.59,"173,911,016"
7/24/2024,119.17,119.95,113.44,114.25,"327,776,906"
7/25/2024,113.04,116.63,106.3,112.28,"460,067,000"
7/26/2024,116.19,116.2,111.58,113.06,"293,399,094"
7/29/2024,113.69,116.28,111.3,111.59,"248,152,094"
7/30/2024,111.52,111.99,102.54,103.73,"486,833,312"
7/31/2024,112.9,118.34,110.88,117.02,"473,174,219"
8/1/2024,117.53,120.16,106.81,109.21,"523,462,312"
8/2/2024,103.76,108.72,101.37,107.27,"482,027,500"
8/5/2024,92.06,103.41,90.69,100.45,"552,842,375"
8/6/2024,103.84,107.71,100.55,104.25,"409,012,094"
8/7/2024,107.81,108.8,98.69,98.91,"411,440,375"
8/8/2024,102,105.5,97.52,104.97,"391,910,031"
8/9/2024,105.64,106.6,103.43,104.75,"290,844,188"
8/12/2024,106.32,111.07,106.26,109.02,"325,559,906"
8/13/2024,112.44,116.23,111.58,116.14,"312,646,688"
8/14/2024,118.53,118.6,114.07,118.08,"339,246,406"
8/15/2024,118.76,123.24,117.47,122.86,"318,086,688"
8/16/2024,121.94,125,121.18,124.58,"302,589,875"
8/19/2024,124.28,130,123.42,130,"318,333,594"
8/20/2024,128.4,129.88,125.89,127.25,"300,087,406"
8/21/2024,127.32,129.35,126.66,128.5,"257,883,594"
8/22/2024,130.02,130.75,123.1,123.74,"376,189,094"
8/23/2024,125.86,129.6,125.22,129.37,"323,230,312"
8/26/2024,129.57,131.26,124.37,126.46,"331,964,719"
8/27/2024,125.05,129.2,123.88,128.3,"303,134,594"
8/28/2024,128.12,128.33,122.64,125.61,"448,101,094"
8/29/2024,121.36,124.43,116.71,117.59,"453,023,281"
8/30/2024,119.53,121.75,117.22,119.37,"333,751,625"
9/3/2024,116.01,116.21,107.29,108,"474,972,000"
9/4/2024,105.41,113.27,104.12,106.21,"372,470,312"
9/5/2024,104.99,109.65,104.76,107.21,"306,850,688"
9/6/2024,108.04,108.15,100.95,102.83,"413,638,125"
9/9/2024,104.88,106.55,103.69,106.47,"273,912,000"
9/10/2024,107.81,109.4,104.95,108.1,"268,283,688"
9/11/2024,109.39,117.19,107.42,116.91,"441,422,406"
9/12/2024,116.84,120.79,115.38,119.14,"367,100,500"
9/13/2024,119.08,119.96,117.6,119.1,"238,358,297"
9/16/2024,116.79,118.18,114.36,116.78,"248,772,297"
9/17/2024,118.17,118.8,114.83,115.59,"231,925,906"
9/18/2024,115.89,117.7,113.22,113.37,"310,318,906"
9/19/2024,117.35,119.66,117.25,117.87,"293,506,406"
9/20/2024,117.06,118.62,115.39,116,"382,462,406"
9/23/2024,116.55,116.99,114.86,116.26,"206,228,500"
